"pplfair : 9","gincdif : Agree strongly","happy : 8","sclmeet : Once a week","inprdsc : None","sclat : About the same","rlgbg : Yes","dfincac : Neither agree nor disagree","sblazy : Neither agree nor disagree","eduyrs : 9","imprich : A little like me","iprspot : A little like me","impfun : Very much like me","consumption : 1"
"pplfair : 6","gincdif : Agree","happy : 6","sclmeet : Several times a month","inprdsc : 2","sclat : Less than most","rlgbg : No","dfincac : Disagree","sblazy : Disagree","eduyrs : 20","imprich : Not like me","iprspot : Somewhat like me","impfun : Not like me","consumption : 2"
"pplfair : 8","gincdif : Neither agree nor disagree","happy : 8","sclmeet : Several times a month","inprdsc : 2","sclat : Less than most","rlgbg : No","dfincac : Agree","sblazy : Neither agree nor disagree","eduyrs : 12","imprich : Not like me at all","iprspot : Like me","impfun : Somewhat like me","consumption : 1"
"pplfair : 4","gincdif : Neither agree nor disagree","happy : 8","sclmeet : Several times a month","inprdsc : 1","sclat : About the same","rlgbg : Yes","dfincac : Agree strongly","sblazy : Neither agree nor disagree","eduyrs : 15","imprich : Somewhat like me","iprspot : Like me","impfun : Like me","consumption : 3"
"pplfair : 5","gincdif : Agree","happy : 8","sclmeet : Several times a month","inprdsc : 4-6","sclat : About the same","rlgbg : Yes","dfincac : Agree strongly","sblazy : Agree","eduyrs : 10","imprich : Like me","iprspot : A little like me","impfun : Very much like me","consumption : 1"
"pplfair : 3","gincdif : Agree","happy : 5","sclmeet : Once a month","inprdsc : 2","sclat : About the same","rlgbg : No","dfincac : Agree","sblazy : Agree strongly","eduyrs : 11","imprich : Not like me","iprspot : Very much like me","impfun : Like me","consumption : 3"
"pplfair : 8","gincdif : Neither agree nor disagree","happy : 8","sclmeet : Several times a week","inprdsc : 4-6","sclat : Less than most","rlgbg : No","dfincac : Disagree","sblazy : Agree strongly","eduyrs : 9","imprich : Not like me","iprspot : Very much like me","impfun : A little like me","consumption : 3"
"pplfair : 7","gincdif : Neither agree nor disagree","happy : 9","sclmeet : Several times a month","inprdsc : 4-6","sclat : About the same","rlgbg : Yes","dfincac : Agree","sblazy : Neither agree nor disagree","eduyrs : 17","imprich : Not like me","iprspot : Not like me","impfun : A little like me","consumption : 3"
"pplfair : 7","gincdif : Agree","happy : 9","sclmeet : Once a week","inprdsc : 4-6","sclat : About the same","rlgbg : Yes","dfincac : Disagree","sblazy : Disagree","eduyrs : 18","imprich : A little like me","iprspot : Somewhat like me","impfun : Somewhat like me","consumption : 3"
"pplfair : 7","gincdif : Agree strongly","happy : 7","sclmeet : Several times a week","inprdsc : 2","sclat : About the same","rlgbg : No","dfincac : Disagree strongly","sblazy : Disagree strongly","eduyrs : 17","imprich : Not like me","iprspot : A little like me","impfun : A little like me","consumption : 2"
"pplfair : 3","gincdif : Agree","happy : 6","sclmeet : Several times a month","inprdsc : 4-6","sclat : About the same","rlgbg : Yes","dfincac : Disagree","sblazy : Agree","eduyrs : 8","imprich : Somewhat like me","iprspot : Like me","impfun : Like me","consumption : 3"
